    N,Site,    AX1    ,  AX2    ,  AX3    ,  AX4   ,   WEIGHT,    N2
203,2008.208,0.5755,1.044,0.7058,0.5821,64.02,51
204,2008.22,0.9892,0.9629,1.1514,0.2498,68.19,55.44
205,2008.222,1.0764,0.5929,0.8065,0.1526,78.61,67.7
206,2008.226,0.9189,0.353,1.4596,0.6826,68.8,46.94
207,2008.238,1.3786,0.7035,0.7443,0.6642,71.19,66.49
208,2008.244,1.3158,0.5867,0.6679,0.4442,69.34,62.16
209,2008.254,0.9151,1.6812,0.9789,0.7853,51.57,34.79
210,2008.259,0.6421,0.3764,0.3285,0.6648,53.57,35.74
211,2008.303,1.1608,0.1404,1.0632,0.5611,72.04,63.9
212,2008.307,1.5245,0.9487,0.9097,0.5789,72.13,53.94
213,2008.308,0.3037,0.7113,0.7981,0.614,54.63,41.76
214,2008.309,1.2586,0.373,1.0833,1.1144,61.99,56.53
215,2008.317,1.0531,1.4881,1.0554,0.7157,68.89,52.99
216,2008.319,0.8203,0.7192,0.1609,0.4385,64.24,49.61
217,2008.331,2.1569,0.7553,0.792,0.7015,59.92,55.14
218,2008.343,1.445,0.9427,0.9892,0.7594,62.67,51.23
219,2008.346,0.6551,0.4053,0.8855,1.0478,54.98,45.26
220,2008.35,1.2432,0.7979,1.0137,0.5356,65.22,62.1
  ,,,,,,,
