"STID","STNM","MONTH","YEAR","RELH","TAIR","WSPD","WVEC","WDIR","WDSD","WSSD","WMAX","RAIN","PRES","SRAD","TA9M","WS2M","TS10","TB10","TS05","TB05","TS30","TR05","TR25","TR60","TR75"
"FORA",38,"08","2000",57.158810325477,28.6169696969697,4.04085297418631,3.9800785634119,184.194949494949,8.6150505050505,0.60320987654321,5.4610101010101,0.25,975.933351290685,283.480808080808,29.1265656565657,2.45510662177329,26.0517171717172,30.5854545454545,25.916531986532,31.1474410774411,24.6472053872054,3.42868686868687,3.21898316498317,2.36289562289562,1.78109764309764
"FORA",38,"09","2000",52.5638888888889,22.8845601851852,4.1196412037037,4.02829861111111,156.703125,10.4784490740741,0.708402777777778,5.79486111111111,13.46,975.954302083333,234.758217592593,23.2458680555556,2.59981481481482,22.8797222222222,25.4141666666667,22.5027083333333,25.3919097222222,22.8253472222222,3.73384722222222,3.84461805555556,3.80640277777778,2.99154166666667
"FORA",38,"10","2000",67.9847874720358,16.9154697986577,4.21032438478747,4.13625279642058,150.209843400447,9.82152125279642,0.673769574944072,5.80520134228188,120.65,980.708498881432,149.03836689038,17.1176957494407,2.77126398210291,17.5692617449664,18.4590604026846,17.1024161073825,18.0696644295302,18.1001006711409,2.80670469798658,3.26959060402685,3.70542953020134,3.60248322147651
"FORA",38,"11","2000",68.9574689998841,4.69291922586627,3.75578861977054,3.6973809247885,196.735079383474,8.93612237802758,0.564109398539808,5.06975315795573,44.45,979.190805423572,107.735079383474,5.15807161895932,2.43662069764747,8.59593326381647,7.55015641293014,7.75669099756691,6.37698992005561,10.8947862356621,1.68732962447844,1.65591098748261,1.69373435326843,2.19484700973574
"FORA",38,"12","2000",74.522265844083,-3.9460796410544,4.07638810992709,4.00954570947841,166.893774537297,9.51665731912507,0.643353897924846,5.59030846887269,14.48,984.902498037016,85.3607403252944,-3.690532809871,2.82553000560852,2.57442799461642,2.69751009421265,1.71557873485868,1.63149394347241,5.01211713227869,1.80021252796421,1.77629878869448,1.70596904441454,1.76316958277254
"FORA",38,"01","2001",73.847852898307,0.233490301603319,3.95837162719453,3.90556144691882,201.240721102863,8.18445858371627,0.549746671379757,5.24122776010369,64.26,981.953122547371,107.480659266734,0.726953694360354,2.59533404029692,2.46925664312143,2.2694248234107,1.84793138244198,1.4874873864783,3.90847628657921,1.64092165898618,1.68528263795424,1.68197846567968,1.67677658142665
"FORA",38,"02","2001",76.2424242424242,2.36819423745653,4.46553651266766,4.39242424242424,142.798807749627,9.43299801291605,0.687667660208644,6.08145802285147,101.08,981.2038065077,105.154247391952,2.55465722801788,3.08411574764034,4.42183308494784,4.12872578241431,3.91009687034277,3.43289865871833,5.2696348733234,1.62136833731106,1.6305737704918,1.60093889716841,1.60185543964233
"FORA",38,"03","2001",65.9176034172662,6.49594199640288,3.66080260791367,3.58121627697842,159.103642086331,10.629631294964,0.587218974820144,5.02763039568345,45.72,978.103125,172.860161870504,6.62307778776978,2.72736061151079,7.30613621038436,7.65492245448415,6.93951449763992,7.27370195549562,7.44126770060688,1.56726904922454,1.57728253540121,1.53893459204316,1.5514295347269
"FORA",38,"04","2001",62.9798767011748,17.6464867380177,6.08569268349424,6.01292311271374,187.244620216355,8.38428521577294,0.825950913109224,8.03816447597999,32,975.535984178688,220.346167267652,17.8943817610794,4.70245434453879,15.7727145847872,16.9998953244941,15.7714933705513,17.1625959525471,14.357641311933,1.6915690376569,1.56353556485356,1.51163179916318,1.52146443514644
"FORA",38,"05","2001",74.7190860215054,19.4915210573477,4.79984318996416,4.73263888888889,187.960573476703,8.76206317204301,0.687488799283154,6.4105958781362,144.78,974.639761424731,251.469982078853,19.7670698924731,3.3909837910851,19.8563172043011,21.7055779569892,19.7073924731183,21.7379704301075,18.7875336021505,1.94190860215054,1.78249327956989,1.5728561827957,1.62908602150538
"FORA",38,"06","2001",74.742253684577,23.2613206452362,4.40553556922363,4.33939886271324,159.17523500058,9.30987582685389,0.664384356504584,5.96773819194615,22.85,975.590104444702,292.651967041894,23.6507717303006,2.93108609886285,22.8032033426184,26.5620125348189,22.6512883008357,26.8017061281337,21.6942200557103,2.51277351916376,2.23557491289199,1.71150522648084,1.75165156794425
"FORA",38,"07","2001",63.3269791433057,29.0055063362117,4.24409060327428,4.16692083426777,164.865440681767,9.85054945054945,0.684021080959856,5.84617627270689,13.72,975.197585781565,293.790199596322,28.9943821484638,2.85081856918592,27.6073014804845,31.8848250336474,27.642799461642,32.3486541049798,25.8822341857335,3.64039703903096,3.78025572005384,3.25110869565217,2.94174293405114
"FORA",38,"08","2001",57.7620967741936,27.9631048387097,3.57942428315412,3.49254032258065,154.181339605735,11.4638440860215,0.642697132616487,5.06959005376344,18.29,976.686820116487,265.531810035842,27.9581989247312,2.35627240143369,27.5823924731183,30.9405241935484,27.4634408602151,31.1654905913978,26.6424059139785,3.66877016129032,3.88288978494624,NA,3.82470430107527
"FORA",38,"09","2001",66.2735399976779,21.0057819575061,3.34375943341461,3.25908510391269,139.54348078486,11.0863578311854,0.582805062115407,4.69339370718681,42.67,977.744882154882,213.177522349936,21.2650528271218,2.1540694299315,22.3125740160223,24.0969348659004,21.9159177986764,24.2287008011146,22.4867990247301,2.82277158774373,3.48838440111421,NA,3.8216295264624
"FORA",38,"10","2001",61.0366004266307,15.1442236443247,4.93314247221287,4.85420455821264,187.765353093073,8.99625014033906,0.730414280902661,6.65454137195464,61.21,978.042269001909,174.267317839901,15.5333221062086,3.31727854496463,15.875429726997,16.3823727671048,15.5446579036063,16.4159083249073,16.637984496124,2.1157354925776,2.22790148448043,3.73916666666667,3.77234817813765
"FORA",38,"11","2001",69.6825231481481,11.42125,4.32984953703704,4.2634837962963,170.496643518519,8.84953703703704,0.630451388888889,5.804375,20.57,979.613409722222,104.367361111111,11.8438194444444,2.88899305555556,12.64125,12.3997222222222,12.3479166666667,12.2130902777778,13.7011111111111,1.94619444444444,2.18167361111111,3.72275694444444,3.71811111111111
"FORA",38,"12","2001",65.9530689964158,4.61875,4.35384184587814,4.29178987455197,200.513888888889,8.44641577060932,0.604065860215054,5.77273745519713,23.86,978.763282930107,96.5333781362007,5.23185483870968,2.88615591397849,6.51451612903226,5.76754032258065,6.203125,5.40356182795699,8.15315860215054,1.8480406779661,1.95675403225806,3.72096774193548,3.71685483870968
